sno,context,charA,charB,relation,movie_name,GenderA,GenderB,GenderNeutral,RaceA,RaceB,Remarks
0," Smythe: Well done, sir. Very neat.
Stew: That's what I think of it, Bingy!
Stew: Smythe, the - er - gentleman is leaving.
Smythe: Yes, sir. ",Smythe,Stew,Professional Contact,Platinum Blonde,Male,Male,0,White,White,sir
1," Smythe: Did you call, sir?
Stew: Smythe, come here. I want to talk to you.
Stew: Shhh! Do you hear something?
Smythe: Yes, sir.
Stew: You try it.
Smythe: Me, sir?
Stew: Yeah.
Stew: No, no. Give it more volume.
Stew: No, that's enough. I just wanted you to get the idea. Now you know. This house is haunted.
Smythe: No, sir!
Stew: Yes. Have you looked in the closets all over . . .?
Smythe: Yes, sir.
Stew: Found no skeletons?
Smythe: No, sir.
Stew: It's haunted just the same.
Smythe: Yes, sir.
Stew: Smythe, what do you do with yourself - I mean, when you're not carrying those double-strength - what do you do with yourself?
Smythe: Well, sir, I putter.
Stew: Smythe! I mean - when you're alone and want to amuse yourself, then what?
Smythe: I just putter.
Stew: Hmmm, you just putter. Do you have to have a putter to putter?
Smythe: Oh no, sir. I putter with me hands.
Stew: Well, isn't that nice? You just go right ahead and putter with your hands. That's all right. How do you do it?
Smythe: Well sir, I'll show you.
Smythe: That's puttering, sir.
Stew: No! Well, well, well! That's all right, if you like it. Can anybody do that?
Smythe: Oh no, sir. Some people are natural putterers. Others can never master it.
Stew: Oh my. You mean, some people are born and never will become putterers?
Smythe: Yes sir.
Stew: Oh my, wouldn't that be tragic? To know that you could never be a putterer.
Smythe: Yes sir.
Stew: How about me? Do you think if I concentrated and put my whole soul into it, that some day I might be a putterer?
Smythe: You sir? Uh-uh. You could never be a putterer. Not a good putterer, sir.
Stew: Well, if I couldn't be a good putterer, I wouldn't want to putter. But why?
Smythe: Well sir, to be a putterer, one's mind must be at ease. A person with a problem could never be a putterer. For instance, sir, a fish can putter in water but not on land because he'd be out of place.
Stew: A bird in a gilded cage?
Smythe: Yes.
Stew: That's all I wanted to know! ",Smythe,Stew,Professional Contact,Platinum Blonde,Male,Male,0,White,White,sir
2," Walter: Why, I'm assisting you, sir.
Longfellow: Get up from there. I don't want anybody holding the ends of my pants. Get up from there!
Walter: Yes, sir.
Longfellow: Imagine that - holding the ends of my pants! ",Longfellow,Walter,Workplace Superior - Subordinate,Mr Deeds Goes to Town,Male,Male,0,White,White,sir
3," Longfellow: He talks about women as if they were cattle.
Walter: Every man to his taste, sir.
Longfellow: Tell me, Walter, are all those stories I hear about my uncle true?
Walter: Well, sir, he sometimes had as many as twenty in the house at the same time.
Longfellow: Twenty! What did he do with them?
Walter: That was something I was never able to find out, sir. ",Longfellow,Walter,Workplace Superior - Subordinate,Mr Deeds Goes to Town,Male,Male,0,White,White,sir
4," Longfellow: Bender? You're wrong, Walter. We started out to a binge but we never got to it.
Walter: Yes, sir.
Longfellow: What's that?
Walter: A Prairie Oyster, sir.
Walter: Yes, sir. It makes the head feel smaller.
Longfellow: Oh. Oh!
Walter: Miss Dawson, sir? No, sir. No Miss Dawson has called, sir.
Longfellow: She was a lady in distress. She wouldn't let me help her. Got a lot of pride.
Walter: Oh, I do too, sir.
Longfellow: I'd better call her up and apologize.
Walter: I'd venture to say, sir, you don't remember much of anything that happened last night, sir. ",Longfellow,Walter,Workplace Superior - Subordinate,Mr Deeds Goes to Town,Male,Male,0,White,White,sir
5," Walter: You have no pants, sir.
Longfellow: I did what!
Walter: As a matter of fact, you came home without any clothes. You were in your - uh -
Longfellow: Oh, don't be silly, Walter. I couldn't walk around in the streets without any clothes. I'd be arrested.
Walter: That's what the two policemén said, sir.
Longfellow: What two policemen?
Walter: The ones who brought you home, sir.
Longfellow: Listen, Walter, if a man named Morrow calls up, tell him I'm not in. He may be a great author, but I think he's crazy. The man's crazy, Walter. ",Longfellow,Walter,Workplace Superior - Subordinate,Mr Deeds Goes to Town,Male,Male,0,White,White,sir
6," Walter: Yes, sir. By the way, did you. Longfellow slowly swings out of bed into a sitting position. Walter kneels to put on Longfellow's slippers. Longfellow balks, points, silently reminding Walter that he has broken his promise not to kneel down in front of him.
Longfellow: Please!
Walter: But how'll I put on the slipper, sir?
Walter: Yes, sir. I beg pardon, sir, but did you ever find what you were looking for, sir?
Longfellow: Looking for?
Walter: You kept searching me last night, sir.
Longfellow: Better bring me some coffee, Walter.
Walter: Very good, sir. ",Longfellow,Walter,Workplace Superior - Subordinate,Mr Deeds Goes to Town,Male,Male,0,White,White,sir
7," Walter: Madame Pomponi is on the telephone, sir.
Longfellow: Who?
Walter: Madame Pomponi. She says everything is all set for the reception.
Longfellow: What do you mean by coming in here when I'm playing?
Walter: But she's on the telephone. LONGFELLOW ",Longfellow,Walter,Workplace Superior - Subordinate,Mr Deeds Goes to Town,Male,Male,0,White,White,"Madame, sir"
8," Walter: Why, that's an echo, sir!
Longfellow: You try it.
Walter: Me, sir?
Longfellow: Yeah. ",Longfellow,Walter,Workplace Superior - Subordinate,Mr Deeds Goes to Town,Male,Male,0,White,White,sir
9," Longfellow: Walter! Walter! Walter, where are you?
Walter: Yes, sir. What is it, sir? Anything happened
Longfellow: Anything happened? I've got to get dressed!
Walter: But she isn't due for an hour, sir.
Longfellow: An hour? What's an hour! You know how time flies, Walter. My tie? Get it.
Walter: Yes, sir. Very good, sir. Here it is right here, sir. There, sir. ",Longfellow,Walter,Workplace Superior - Subordinate,Mr Deeds Goes to Town,Male,Male,0,White,White,sir
